"","student","has"
"1",21118,"C2 - Good"
"2",21118,"C5 - Very Good"
"3",21118,"C3 - Very Good"
"4",21118,"C1 - Medium"
"5",21118,"C4 - Very Good"
"6",21118,"C7 - Good"
"7",21118,"C10 - Very Good"
"8",21118,"C8 - Medium"
"9",21118,"C9 - Good"
"10",21119,"C6 - Good"
"11",21119,"C2 - Good"
"12",21119,"C5 - Medium"
"13",21119,"C3 - Good"
"14",21119,"C1 - Medium"
"15",21119,"C4 - Medium"
"16",21119,"C7 - Good"
"17",21119,"C10 - Medium"
"18",21119,"C8 - Medium"
"19",21119,"C9 - Good"
"20",21120,"C6 - Very Good"
"21",21120,"C2 - Very Good"
"22",21120,"C5 - Very Good"
"23",21120,"C3 - Very Good"
"24",21120,"C1 - Good"
"25",21120,"C4 - Good"
"26",21120,"C7 - Good"
"27",21120,"C10 - Good"
"28",21120,"C8 - Good"
"29",21120,"C9 - Good"
"30",21121,"C6 - Very Good"
"31",21121,"C2 - Medium"
"32",21121,"C5 - Very Good"
"33",21121,"C3 - Medium"
"34",21121,"C1 - Good"
"35",21121,"C4 - Good"
"36",21129,"C9 - Very Good"
"37",21130,"C6 - Excellent"
"38",21130,"C2 - Excellent"
"39",21130,"C5 - Very Good"
"40",21130,"C3 - Excellent"
"41",21130,"C1 - Good"
"42",21130,"C4 - Good"
"43",21130,"C7 - Very Good"
"44",21130,"C10 - Good"
"45",21130,"C8 - Medium"
"46",21130,"C9 - Very Good"
"47",21131,"C6 - Very Good"
"48",21131,"C2 - Very Good"
"49",21131,"C5 - Very Good"
"50",21131,"C3 - Very Good"
"51",21131,"C1 - Medium"
"52",21131,"C4 - Very Good"
"53",21131,"C7 - Very Good"
"54",21131,"C10 - Excellent"
"55",21131,"C8 - Good"
"56",21131,"C9 - Very Good"
"57",21133,"C6 - Excellent"
"58",21133,"C2 - Very Good"
"59",21133,"C5 - Very Good"
"60",21133,"C3 - Very Good"
"61",21133,"C1 - Medium"
"62",21133,"C4 - Excellent"
"63",21133,"C7 - Good"
"64",21133,"C10 - Very Good"
"65",21133,"C8 - Good"
"66",21133,"C9 - Excellent"
"67",21134,"C6 - Very Good"
"68",21134,"C2 - Very Good"
"69",21134,"C5 - Very Good"
"70",21134,"C3 - Medium"
"71",21134,"C1 - Good"
"72",21134,"C4 - Very Good"
"73",21134,"C7 - Very Good"
"74",21134,"C10 - Very Good"
"75",21134,"C8 - Good"
"76",21134,"C9 - Very Good"
"77",21135,"C6 - Very Good"
"78",21142,"C10 - Very Good"
"79",21142,"C8 - Good"
"80",21142,"C9 - Very Good"
"81",21143,"C6 - Very Good"
"82",21143,"C2 - Very Good"
"83",21143,"C5 - Very Good"
"84",21143,"C3 - Good"
"85",21143,"C1 - Good"
"86",21143,"C4 - Good"
"87",21143,"C7 - Good"
"88",21143,"C10 - Very Good"
"89",21143,"C8 - Good"
"90",21143,"C9 - Good"
"91",21167,"C6 - Very Good"
"92",21167,"C2 - Very Good"
"93",21167,"C5 - Good"
"94",21167,"C3 - Very Good"
"95",21167,"C1 - Good"
"96",21167,"C4 - Medium"
"97",21167,"C7 - Good"
"98",21167,"C10 - Good"
"99",21167,"C8 - Very Good"
"100",21167,"C9 - Very Good"
"101",22061,"C6 - Very Good"
"102",22061,"C2 - Very Good"
"103",22061,"C5 - Good"
"104",22061,"C3 - Medium"
"105",22061,"C1 - Good"
"106",22061,"C4 - Medium"
"107",22061,"C7 - Medium"
"108",22061,"C10 - Very Good"
"109",22061,"C8 - Medium"
"110",22061,"C9 - Excellent"
"111",22062,"C6 - Very Good"
"112",22062,"C2 - Good"
"113",22062,"C5 - Good"
"114",22062,"C3 - Medium"
"115",22062,"C1 - Good"
"116",22062,"C4 - Very Good"
"117",22062,"C7 - Very Good"
"118",22070,"C9 - Very Good"
"119",22071,"C6 - Excellent"
"120",22071,"C2 - Medium"
"121",22071,"C5 - Medium"
"122",22071,"C3 - Medium"
"123",22071,"C1 - Good"
"124",22071,"C4 - Good"
"125",22071,"C7 - Medium"
"126",22071,"C10 - Good"
"127",22071,"C8 - Medium"
"128",22071,"C9 - Good"
"129",22072,"C6 - Very Good"
"130",22072,"C2 - Excellent"
"131",22072,"C5 - Excellent"
"132",22072,"C3 - Very Good"
"133",22072,"C1 - Good"
"134",22072,"C4 - Excellent"
"135",22072,"C7 - Excellent"
"136",22072,"C10 - Excellent"
"137",22072,"C8 - Excellent"
"138",22072,"C9 - Excellent"
"139",22073,"C6 - Medium"
"140",22073,"C2 - Medium"
"141",22073,"C5 - Good"
"142",22073,"C3 - Medium"
